(47.57215, 19.27605)
(47.57227, 19.276)
(47.57239, 19.27596)
(47.5725, 19.27591)
(47.57262, 19.27586)
(47.57274, 19.27581)
(47.57286, 19.27576)
(47.57298, 19.27571)
(47.57309, 19.27566)
(47.57321, 19.27562)
(47.57333, 19.27557)
(47.57345, 19.27552)
(47.57357, 19.27547)
(47.57369, 19.27543)
(47.57382, 19.27539)
(47.57409, 19.2753)
(47.5742, 19.27527)
(47.57431, 19.27525)
(47.57442, 19.27523)
(47.57454, 19.27521)
(47.57517, 19.27515)
(47.5753, 19.27514)
(47.57543, 19.27514)
(47.57557, 19.27514)
(47.57571, 19.27515)
(47.57584, 19.27516)
(47.57598, 19.27517)
(47.57612, 19.27518)
(47.57626, 19.27519)
(47.5764, 19.2752)
(47.57654, 19.27522)
(47.57668, 19.27523)
(47.57682, 19.27524)
(47.57697, 19.27525)
(47.57712, 19.27526)
(47.57726, 19.27527)
(47.57742, 19.27529)
(47.57757, 19.2753)
(47.57772, 19.27531)
(47.57786, 19.27532)
(47.578, 19.27533)
(47.57814, 19.27534)
(47.57827, 19.27535)
(47.5784, 19.27536)
(47.57853, 19.27537)
(47.57865, 19.27538)
(47.57877, 19.27539)
(47.57888, 19.2754)
(47.57899, 19.27541)
(47.57911, 19.27542)
(47.57924, 19.27543)
(47.57936, 19.27544)
(47.57948, 19.27545)
(47.5796, 19.27546)
(47.57973, 19.27547)
(47.57985, 19.27548)
(47.57997, 19.27549)
(47.58065, 19.27554)
(47.58077, 19.27555)
(47.58221, 19.27567)
(47.58234, 19.27568)
(47.58247, 19.27569)
(47.58259, 19.2757)
(47.58272, 19.27571)
(47.58285, 19.27572)
(47.58297, 19.27573)
(47.5831, 19.27574)
(47.58323, 19.27575)
(47.58335, 19.27576)
(47.58348, 19.27577)
(47.58361, 19.27578)
(47.58373, 19.27579)
(47.58386, 19.2758)
(47.58399, 19.27581)
(47.58412, 19.27582)
(47.58424, 19.27583)
(47.58437, 19.27584)
(47.5845, 19.27585)
(47.58463, 19.27586)
(47.58494, 19.27589)
(47.58507, 19.2759)
(47.5852, 19.27591)
(47.58533, 19.27592)
(47.58545, 19.27593)
(47.58558, 19.27594)
(47.58571, 19.27595)
(47.58596, 19.27597)
(47.58615, 19.27599)
(47.58635, 19.276)
(47.58647, 19.27601)
(47.5866, 19.27602)
(47.58673, 19.27603)
